num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %,Rep_of_class_predict,Sequences_by_cltr,family_2021,family_2023,family_divercity,Genus,Protein_type,Protein_class,Host,Chain
25,PP032858.1_1_1_1497,498,19,1.0,10,10.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
26,PP025406.1_1_1_1410,469,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
27,LC791587.1_1_22_2172,716,6,1.0,21,21.0,100.0,6T0W_A,36012,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-)
28,OR915825.1_3_1046_2221,391,101,1.0,5,5.0,100.0,CAA24906.1,1186,Pneumoviridae,Pneumoviridae,Pneumoviridae,Orthopneumovirus,N protein,Other-Functions,Homo sapiens,ssRNA(-)
29,OR915825.1_6_4595_5527,310,34,1.0,1,1.0,100.0,BBJ34935.1,4091,Pneumoviridae,Pneumoviridae,Pneumoviridae,Orthopneumovirus,attachment glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(-)
30,OR915825.1_7_5580_7349,589,54,1.0,15,15.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
31,OR915825.1_10_8401_14940,2180,76,1.0,94,94.0,100.0,QFX69115.1,1592,Pneumoviridae,Pneumoviridae,Pneumoviridae-Paramyxoviridae,Orthopneumovirus,RNA-directed RNA polymerase L,Replication-Transcription,Homo sapiens,ssRNA(-)
32,OR915826.1_3_1048_2223,391,101,1.0,5,5.0,100.0,CAA24906.1,1186,Pneumoviridae,Pneumoviridae,Pneumoviridae,Orthopneumovirus,N protein,Other-Functions,Homo sapiens,ssRNA(-)
33,OR915826.1_6_4596_5528,310,34,1.0,1,1.0,100.0,BBJ34935.1,4091,Pneumoviridae,Pneumoviridae,Pneumoviridae,Orthopneumovirus,attachment glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(-)
34,OR915826.1_7_5581_7350,589,54,1.0,15,15.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
35,OR915826.1_10_8402_14968,2188,76,1.0,95,95.0,100.0,QFX69115.1,1592,Pneumoviridae,Pneumoviridae,Pneumoviridae-Paramyxoviridae,Orthopneumovirus,RNA-directed RNA polymerase L,Replication-Transcription,Homo sapiens,ssRNA(-)
36,OR964924.1_1_2_11899,3965,224,1.0,184,184.0,100.0,YP_009666113.1,384,Nairoviridae,Nairoviridae,Nairoviridae-Peribunyaviridae,Orthonairovirus,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(-)
37,OR899344.1_1_1_1725,574,54,1.0,14,14.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
38,OR899465.1_1_1_1725,574,54,1.0,14,14.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
39,OR899466.1_1_1_1725,574,54,1.0,14,14.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
40,OR899520.1_1_1_1725,574,54,1.0,14,14.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
41,OR899531.1_1_1_1725,574,54,1.0,14,14.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
42,OP811945.1_1_1_10164,3387,15,0.99,155,153.0,98.71,QLC45894.1,20504,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Orthoflavivirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
43,OP811957.1_1_1_10164,3387,15,0.99,155,153.0,98.71,QLC45894.1,20504,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Orthoflavivirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
44,OP811966.1_1_1_10164,3387,15,0.99,155,154.0,99.35,QLC45894.1,20504,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Orthoflavivirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
45,OR986561.1_1_3_1430,475,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
46,OR923062.1_1_1_2601,866,2,1.0,29,29.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
47,OR923174.1_1_1_2577,858,2,1.0,28,28.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
48,OR975469.1_1_74_1795,573,148,1.0,14,13.0,92.86,AGC97158.1,695,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,Orthoavulavirus,nucleoprotein,Structural-Envelope,Gallus gallus,ssRNA(-)
49,OR975469.1_4_3264_4391,375,167,1.0,4,4.0,100.0,AAB19495.1,621,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,Orthorubulavirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
50,OR975469.1_6_4546_6162,538,167,1.0,12,12.0,100.0,AAB19495.1,621,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,Orthorubulavirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
51,OR975469.1_7_6614_8362,582,147,1.0,15,15.0,100.0,BBA66889.1,700,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,Orthorubulavirus,hemagglutinin-neuraminidase,Hemagglutinin,Homo sapiens,ssRNA(-)
52,OR975469.1_8_8369_15223,2284,37,1.0,100,100.0,100.0,YP_008378665.1,3554,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,Orthoavulavirus,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(-)
53,OQ120862.1_1_2_1537,511,19,1.0,11,11.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
54,OR545534.1_1_1_10113,3371,15,1.0,154,154.0,100.0,QLC45894.1,20504,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Orthoflavivirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
55,OR974164.1_1_2_1417,471,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
56,OR974211.1_1_2_1417,471,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
57,OR974264.1_1_3_1718,571,5,1.0,14,14.0,100.0,AFD32428.2,42254,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
58,OR974269.1_1_1_2295,764,11,1.0,24,24.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
59,OR975016.1_1_3_1718,571,5,1.0,14,14.0,100.0,AFD32428.2,42254,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
60,OR975254.1_1_13_2286,757,12,1.0,23,23.0,100.0,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
61,OR975270.1_1_13_2286,757,12,1.0,23,23.0,100.0,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
62,OQ299137.1_1_1_1101,367,0,0.91,4,2.0,50.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
63,OQ299328.1_1_1_1035,345,16,0.84,3,2.0,66.67,AAP76556.1,20310,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
64,OR026653.1_1_1_2205,735,36,1.0,22,22.0,100.0,ALK28765.1,3663,Coronaviridae,Coronaviridae,Coronaviridae,Alphacoronavirus,spike protein,Structural-Envelope,Sus scrofa,ssRNA(+)
65,OR902068.1_1_1_1767,589,9,1.0,15,15.0,100.0,AQW44516.1,81816,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Hepadnaviridae,Hepacivirus,polyprotein-NS5B-NS5A-NS3-4A,Polyprotein,Homo sapiens,ssRNA(+)
66,OR497887.1_1_1_9036,3011,9,1.0,136,136.0,100.0,AQW44516.1,81816,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Hepadnaviridae,Hepacivirus,polyprotein-NS5B-NS5A-NS3-4A,Polyprotein,Homo sapiens,ssRNA(+)
67,OR497923.1_1_1_9036,3011,9,1.0,136,136.0,100.0,AQW44516.1,81816,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Hepadnaviridae,Hepacivirus,polyprotein-NS5B-NS5A-NS3-4A,Polyprotein,Homo sapiens,ssRNA(+)
68,OR497990.1_1_1_9036,3011,9,1.0,136,136.0,100.0,AQW44516.1,81816,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Hepadnaviridae,Hepacivirus,polyprotein-NS5B-NS5A-NS3-4A,Polyprotein,Homo sapiens,ssRNA(+)
69,OR840837.1_1_739_7314,2191,10,1.0,95,95.0,100.0,BAG82822.1,32162,Picornaviridae,Picornaviridae,Picornaviridae-Retroviridae,Enterovirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
70,OR840838.1_1_739_7311,2191,10,1.0,95,95.0,100.0,BAG82822.1,32162,Picornaviridae,Picornaviridae,Picornaviridae-Retroviridae,Enterovirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
71,OR889999.1_1_3_9578,3191,20,1.0,145,142.0,97.93,QKF95578.1,12451,Potyviridae,Potyviridae,Potyviridae-Tymoviridae-Secoviridae-Closteroviridae-Alphaflexiviridae,Potyvirus,polyprotein,Polyprotein,Solanum tuberosum,ssRNA(+)
72,OR872612.1_2_606_1634,342,101,1.0,3,3.0,100.0,CAA24906.1,1186,Pneumoviridae,Pneumoviridae,Pneumoviridae,Orthopneumovirus,N protein,Other-Functions,Homo sapiens,ssRNA(-)
73,OR872612.1_7_5045_6769,574,54,1.0,14,14.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
74,OR872612.1_10_7880_14323,2148,76,1.0,93,89.0,95.7,QFX69115.1,1592,Pneumoviridae,Pneumoviridae,Pneumoviridae-Paramyxoviridae,Orthopneumovirus,RNA-directed RNA polymerase L,Replication-Transcription,Homo sapiens,ssRNA(-)
75,OR872625.1_1_234_1433,399,101,1.0,5,5.0,100.0,CAA24906.1,1186,Pneumoviridae,Pneumoviridae,Pneumoviridae,Orthopneumovirus,N protein,Other-Functions,Homo sapiens,ssRNA(-)
76,OR872625.1_6_4846_6570,574,54,0.99,14,13.0,92.86,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
77,OR872625.1_9_7681_14124,2148,76,1.0,93,93.0,100.0,QFX69115.1,1592,Pneumoviridae,Pneumoviridae,Pneumoviridae-Paramyxoviridae,Orthopneumovirus,RNA-directed RNA polymerase L,Replication-Transcription,Homo sapiens,ssRNA(-)
78,OR877215.1_1_3_1457,484,0,1.0,10,10.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
79,OR877220.1_1_2_1513,503,0,1.0,11,11.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
80,OR877220.1_2_1609_3717,702,0,0.97,21,15.0,71.43,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
81,OR877634.1_1_1_1455,484,0,1.0,10,10.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
82,OR877634.1_2_1551_2672,373,16,0.94,4,3.0,75.0,AAP76556.1,20310,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
83,OR877709.1_1_2_1009,335,0,1.0,2,2.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
84,OR877760.1_1_3_1481,492,0,1.0,10,10.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
85,OR877801.1_1_1_1443,480,0,1.0,9,9.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
86,OR882971.1_3_794_1993,399,101,1.0,5,5.0,100.0,CAA24906.1,1186,Pneumoviridae,Pneumoviridae,Pneumoviridae,Orthopneumovirus,N protein,Other-Functions,Homo sapiens,ssRNA(-)
87,OR882971.1_8_5403_7127,574,54,1.0,14,14.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
88,OR882971.1_11_8235_14678,2148,76,1.0,93,93.0,100.0,QFX69115.1,1592,Pneumoviridae,Pneumoviridae,Pneumoviridae-Paramyxoviridae,Orthopneumovirus,RNA-directed RNA polymerase L,Replication-Transcription,Homo sapiens,ssRNA(-)
89,OR883005.1_3_794_1993,399,101,1.0,5,5.0,100.0,CAA24906.1,1186,Pneumoviridae,Pneumoviridae,Pneumoviridae,Orthopneumovirus,N protein,Other-Functions,Homo sapiens,ssRNA(-)
90,OR883005.1_8_5408_7132,574,54,1.0,14,14.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
91,OR883005.1_11_8240_14683,2148,76,1.0,93,93.0,100.0,QFX69115.1,1592,Pneumoviridae,Pneumoviridae,Pneumoviridae-Paramyxoviridae,Orthopneumovirus,RNA-directed RNA polymerase L,Replication-Transcription,Homo sapiens,ssRNA(-)
92,OR936765.1_1_85_10263,3392,15,1.0,155,155.0,100.0,QLC45894.1,20504,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Orthoflavivirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
93,OR736939.1_1_2_1519,505,0,1.0,11,11.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
94,OR736939.1_2_1585_4137,850,0,0.99,28,23.0,82.14,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
95,OR736999.1_1_1_1500,499,0,0.9,10,4.0,40.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
96,OR736999.1_2_1596_2954,453,16,0.93,8,3.0,37.5,AAP76556.1,20310,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
97,OR737010.1_1_39_1547,502,0,1.0,11,11.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
98,OR737010.1_2_1643_4351,902,0,0.99,31,31.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
99,OR737010.1_3_4296_5741,481,2,1.0,10,10.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
100,OR737104.1_1_37_1530,497,0,1.0,10,10.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
101,OR737140.1_3_1648_4173,841,0,0.99,28,20.0,71.43,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
102,OR737274.1_1_3_1439,478,0,1.0,9,9.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
103,OR737274.1_2_1535_4243,902,0,0.99,31,24.0,77.42,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
104,OR737280.1_1_93_1592,499,0,1.0,10,10.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
105,OR737280.1_2_1688_3565,625,0,0.97,17,11.0,64.71,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
106,OR737280.1_6_4744_7272,842,2,1.0,28,28.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
107,OR737312.1_1_49_984,311,0,1.0,1,1.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
108,OR737441.1_1_2_1516,504,0,0.97,11,10.0,90.91,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
109,OR737567.1_1_3_1460,485,0,1.0,10,10.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
110,OR094877.1_1_1_1194,397,51,1.0,5,5.0,100.0,ADM15528.1,2656,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,VP6,Other-Functions,Homo sapiens,dsRNA
111,OR103323.1_1_1_981,326,22,1.0,2,2.0,100.0,AKT71995.1,10204,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,VP7,Structural-Envelope,Homo sapiens,dsRNA
112,OY979846.1_1_25_2295,756,12,1.0,23,23.0,100.0,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
113,OY979849.1_1_1_1542,513,19,0.98,11,10.0,90.91,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
114,OY979855.1_1_1_2151,716,6,1.0,21,21.0,100.0,6T0W_A,36012,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-)
