ref,rep,fam_2021,fams_div,fam_2023,clu,sxc,proteina,proteina_class,host,cadena,genero
52,YP_003896047.1,Reoviridae,Reoviridae,Sedoreoviridae,3581,2626,VP2,Other-Functions,Gallus gallus,dsrna,Rotavirus
53,AAF82566.1,Flaviviridae,Flaviviridae,Flaviviridae,147,2623,polyprotein,Polyprotein,Undefined host,ssrna+,Pestivirus
54,QIH29414.1,Pneumoviridae,Pneumoviridae-Coronaviridae,Pneumoviridae,7639,2689,fusion glycoprotein,Structural-Envelope,Homo sapiens,ssrna-,Orthopneumovirus
55,AAZ39526.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6525,2496,L1 protein,Other-Functions,Undefined host,dsdna,Alphapapillomavirus
56,QCF29645.1,Hepeviridae,Hepeviridae,Hepeviridae,6026,2478,capsid,Structural-Envelope,Sus scrofa,ssrna+,Paslahepevirus
57,QFX66041.1,Flaviviridae,Flaviviridae-Baculoviridae-Mimiviridae-Phycodnaviridae-Marseilleviridae,Flaviviridae,89,2785,polyprotein,Polyprotein,Bos taurus,ssrna+,Pestivirus
58,AXU24940.1,Potyviridae,Potyviridae-Bromoviridae,Potyviridae,215,2319,polyprotein,Polyprotein,Undefined host,ssrna+,Potyvirus
59,AFU32554.1,Retroviridae,Retroviridae,Retroviridae,3429,2233,pol protein,Polyprotein,Homo sapiens,rt,Lentivirus
60,NP_077121.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,9274,2223,late protein L2,Other-Functions,Undefined host,dsdna,Alphapapillomavirus
61,QXQ21752.1,Parvoviridae,Parvoviridae,Parvoviridae,4658,2214,VP1,Other-Functions,Equus caballus,ssdna,Protoparvovirus
62,QJI53616.1,Circoviridae,Circoviridae,Circoviridae,15658,2129,replication associated protein,Replication-Transcription,Undefined host,ssdna,Undefined genus
63,QCY50220.1,Picornaviridae,Picornaviridae,Picornaviridae,864,2030,polyprotein,Polyprotein,Homo sapiens,ssrna+,Parechovirus
64,AFM55839.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,6710,2023,hemagglutinin,Hemagglutinin,Homo sapiens,ssrna-,Morbillivirus
65,QAA77604.1,Reoviridae,Reoviridae,Sedoreoviridae,17730,1996,NSP2,Other-Functions,Homo sapiens,dsrna,Rotavirus
66,ASV45868.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,493,1992,RdRp,Replication-Transcription,Aedes albopictus,ssrna-,Ohlsrhavirus
67,QAA79499.1,Flaviviridae,Flaviviridae,Flaviviridae,231,1987,polyprotein,Polyprotein,Culex quinquefasciatus,ssrna+,Orthoflavivirus
68,CAX33877.1,Birnaviridae,Birnaviridae,Birnaviridae,2854,1843,polyprotein,Polyprotein,Brachionus plicatilis,dsrna,Undefined genus
69,CAB65340.1,Retroviridae,Retroviridae-Poxviridae,Retroviridae,681,1809,unnamed protein product,Other-Functions,Undefined host,rt,Gammaretrovirus
70,AWK57622.1,Caliciviridae,Caliciviridae,Caliciviridae,747,1751,ORF1 polyprotein,Other-Functions,Homo sapiens,ssrna+,Sapovirus
71,BBC83614.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6127,1834,E1 protein,Other-Functions,Undefined host,dsdna,Alphapapillomavirus
72,AMQ09749.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,6906,1742,hemagglutinin-neuraminidase,Hemagglutinin,Anas crecca,ssrna-,Metaavulavirus
73,YP_009215303.1,Parvoviridae,Parvoviridae,Parvoviridae,5386,1770,capsid,Structural-Envelope,Oryctolagus cuniculus,ssdna,Bocaparvovirus
74,AAB19548.2,Retroviridae,Retroviridae,Retroviridae,3114,1689,env,Structural-Envelope,Undefined host,rt,Lentivirus
75,QVW10123.1,Astroviridae,Astroviridae,Astroviridae,1845,1611,nonstructural ORF1ab polyprotein,Non-structural,Myotis daubentonii,ssrna+,Undefined genus
76,QFX69115.1,Pneumoviridae,Pneumoviridae-Paramyxoviridae,Pneumoviridae,660,1592,L-GFP,Other-Functions,Undefined host,ssrna-,Orthopneumovirus
77,CAG29088.1,Geminiviridae,Geminiviridae-Potyviridae,Geminiviridae,15745,1585,BC1,Other-Functions,Manihot esculenta,ssdna,Begomovirus
78,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,major capsid,Structural-Envelope,Undefined host,dsdna,Undefined genus
79,YP_009094180.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,20014,1542,phosphoprotein,Other-Functions,Macronycteris commersoni,ssrna-,Lyssavirus
80,YP_009505611.1,Picornaviridae,Picornaviridae-Hepeviridae,Picornaviridae,749,1503,polyprotein,Polyprotein,Miniopterus,ssrna+,Hepatovirus
81,ACX32354.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,12930,1532,E2,Other-Functions,Homo sapiens,dsdna,Alphapapillomavirus
82,NP_941983.1,Hantaviridae,Hantaviridae,Hantaviridae,2522,1373,glycoprotein precursor,Glycoprotein,Undefined host,ssrna-,Orthohantavirus
83,ATP66731.1,Coronaviridae,Coronaviridae,Coronaviridae,6,1446,ORF1ab polyprotein,Other-Functions,Orientallactaga sibirica,ssrna+,Undefined genus
84,QFE31727.1,Retroviridae,Retroviridae,Retroviridae,3759,1354,envelope polyprotein,Structural-Envelope,Equus caballus,rt,Lentivirus
85,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,E1,Other-Functions,Homo sapiens,dsdna,Alphapapillomavirus
86,ABZ03979.1,Geminiviridae,Geminiviridae,Geminiviridae,14349,1312,RepA,Other-Functions,Cenchrus myosuroides,ssdna,Mastrevirus
87,0905196A,Adenoviridae,Adenoviridae,Adenoviridae,1126,1288,genome Ad7,Other-Functions,Undefined host,dsdna,Mastadenovirus
88,YP_009505804.1,Arenaviridae,Arenaviridae,Arenaviridae,7550,1282,nucleocapsid,Structural-Envelope,Bandicota sp.,ssrna-,Mammarenavirus
89,QKI28857.1,Alphasatellitidae,Alphasatellitidae-Nanoviridae-Geminiviridae,Alphasatellitidae,17326,1282,Rep,Other-Functions,Pittosporum tobira,ssdna,Undefined genus
90,AKZ66193.1,Arteriviridae,Arteriviridae,Arteriviridae,21340,1273,GP3,Other-Functions,Undefined host,ssrna+,Betaarterivirus
91,NP_062875.1,Caliciviridae,Caliciviridae,Caliciviridae,710,1249,polyprotein,Polyprotein,Undefined host,ssrna+,Lagovirus
92,QGM78573.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,10084,1247,nucleocapsid,Structural-Envelope,Homo sapiens,ssrna-,Alphainfluenzavirus
93,QCZ35343.1,Caliciviridae,Caliciviridae,Caliciviridae,541,1222,polyprotein,Polyprotein,Zalophus californianus,ssrna+,Vesivirus
94,YP_008439200.1,Coronaviridae,Coronaviridae,Coronaviridae,38,1217,replicase polyprotein 1ab,Replication-Transcription,Myotis lucifugus,ssrna+,Alphacoronavirus
95,AAD30534.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,20326,1207,transforming membrane receptor-like protein,Other-Functions,Undefined host,dsdna,Rhadinovirus
96,AXE73510.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,8508,1206,fusion,Structural-Envelope,Gallus gallus,ssrna-,Orthoavulavirus
97,YP_009448192.1,Picornaviridae,Picornaviridae,Picornaviridae,532,1203,polyprotein,Polyprotein,Undefined host,ssrna+,Passerivirus
98,AAD31543.1,Flaviviridae,Flaviviridae,Flaviviridae,441,1201,polyprotein,Polyprotein,Undefined host,ssrna+,Pegivirus
99,ACA52156.1,Coronaviridae,Coronaviridae,Coronaviridae,33,1195,ORF1ab polyprotein,Other-Functions,Undefined host,ssrna+,Alphacoronavirus
100,YP_010086240.1,Phenuiviridae,Phenuiviridae-Peribunyaviridae,Phenuiviridae,859,1192,RdRp,Replication-Transcription,Ixodes ricinus,ssrna-,Ixovirus
101,CAA24906.1,Pneumoviridae,Pneumoviridae,Pneumoviridae,11164,1186,unnamed protein product,Other-Functions,Undefined host,ssrna-,Orthopneumovirus
102,QTJ01860.1,Solemoviridae,Solemoviridae-Luteoviridae-Tombusviridae,Solemoviridae,2692,1162,RdRp,Replication-Transcription,Lens culinaris,ssrna+,Polerovirus
103,AHC95553.1,Arenaviridae,Arenaviridae,Arenaviridae,9226,1154,glycoprotein precursor,Glycoprotein,Mastomys natalensis,ssrna-,Mammarenavirus
104,AVM87655.1,Hantaviridae,Hantaviridae,Hantaviridae,10893,1149,nucleoprotein,Structural-Envelope,Hemidactylus bowringii,ssrna-,Reptillovirus
105,ABX25838.1,Retroviridae,Retroviridae,Retroviridae,3682,1132,envelope glycoprotein,Structural-Envelope,Panthera leo,rt,Lentivirus
106,ADI60318.1,Arteriviridae,Arteriviridae,Arteriviridae,24476,1128,glycosylated membrane,Other-Functions,Sus scrofa,ssrna+,Betaarterivirus
107,QBX91018.1,Caliciviridae,Caliciviridae,Caliciviridae,23256,1070,VP2,Other-Functions,Homo sapiens,ssrna+,Norovirus
108,AJO72803.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,5883,1037,fusion glycoprotein,Structural-Envelope,fox,ssrna-,Morbillivirus
109,AYI50358.1,Togaviridae,Togaviridae,Togaviridae,595,1026,nonstructural polyprotein,Non-structural,Undefined host,ssrna+,Alphavirus
110,YP_009361853.1,Hantaviridae,Hantaviridae,Hantaviridae,919,1010,RdRp,Replication-Transcription,Crocidura douceti,ssrna-,Orthohantavirus
111,AAK74119.1,Reoviridae,Reoviridae,Sedoreoviridae,7451,1009,modified NSP3,Other-Functions,Undefined host,dsrna,Rotavirus
112,QEO75949.1,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,1739,972,polyprotein,Polyprotein,Culex nigripalpus,ssrna-,Undefined genus
113,YP_009094360.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,13118,1087,phosphoprotein,Other-Functions,Anas platyrhynchos,ssrna-,Orthoavulavirus
114,QPB10708.1,Coronaviridae,Coronaviridae,Coronaviridae,45,958,nonstructural polyprotein,Non-structural,Arenaria interpres,ssrna+,Gammacoronavirus
115,QSD99081.1,Hepeviridae,Hepeviridae,Hepeviridae,1344,948,ORF1 protein,Other-Functions,Undefined host,ssrna+,Undefined genus
116,YP_009345142.1,Tospoviridae,Tospoviridae-Peribunyaviridae,Tospoviridae,22077,927,N protein,Other-Functions,Piperaceae,ssrna-,Orthotospovirus
117,QKO28323.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,8416,918,glycoprotein,Glycoprotein,Esox lucius,ssrna-,Novirhabdovirus
118,YP_052942.1,Reoviridae,Reoviridae,Sedoreoviridae,1970,916,putative RdRp,Replication-Transcription,Undefined host,dsrna,Orbivirus
119,ATP66856.1,Flaviviridae,Flaviviridae,Flaviviridae,150,906,polyprotein,Polyprotein,Niviventer niviventer,ssrna+,Pestivirus
120,AND80849.1,Togaviridae,Togaviridae,Togaviridae,583,901,nonstructural polyprotein,Non-structural,Homo sapiens,ssrna+,Alphavirus
121,NP_044929.1,Retroviridae,Retroviridae,Retroviridae,2319,890,pol polyprotein,Polyprotein,Undefined host,rt,Bovispumavirus
122,QDY92366.1,Coronaviridae,Coronaviridae,Coronaviridae,13183,890,nucleocapsid,Structural-Envelope,Tadorna tadornoides,ssrna+,Gammacoronavirus
123,QSJ02954.1,Coronaviridae,Coronaviridae,Coronaviridae,1904,886,spike,Structural-Envelope,Mus musculus,ssrna+,Betacoronavirus
124,AGO86045.1,Iflaviridae,Iflaviridae-Dicistroviridae,Iflaviridae,462,878,polyprotein,Polyprotein,Apis mellifera,ssrna+,Iflavirus
125,AJE30400.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,9714,853,phosphoprotein,Other-Functions,Capra hircus,ssrna-,Morbillivirus
126,QIM73742.1,Arenaviridae,Arenaviridae,Arenaviridae,758,817,RdRp,Replication-Transcription,Rattus exulans,ssrna-,Arenavirus
127,QCC62316.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,12831,816,latent membrane protein 1,Structural-Envelope,Homo sapiens,dsdna,Lymphocryptovirus
128,QKN88761.1,Parvoviridae,Parvoviridae,Parvoviridae,5092,815,capsid,Structural-Envelope,Undefined host,ssdna,Dependoparvovirus
129,AMB66138.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2018,812,DNA polymerase catalytic subunit,Replication-Transcription,Chlorocebus sabaeus,dsdna,Simplexvirus
130,NP_042860.2,Closteroviridae,Closteroviridae,Closteroviridae,206,810,polyprotein,Polyprotein,Undefined host,ssrna+,Closterovirus
131,QBK47249.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,14008,805,matrix,Structural-Envelope,Pygoscelis adeliae,ssrna-,Undefined genus
132,QRN45811.1,Reoviridae,Reoviridae,Sedoreoviridae,3292,797,VP2,Other-Functions,Bos taurus,dsrna,Orbivirus
133,AST08162.1,Hepeviridae,Hepeviridae,Hepeviridae,1415,783,polyprotein,Polyprotein,Oryctolagus cuniculus,ssrna+,Undefined genus
134,AVO64743.1,Reoviridae,Reoviridae,Reoviridae,6405,771,VP4,Other-Functions,Ochlerotatus fulvus,dsrna,Undefined genus
135,QBL55999.1,Astroviridae,Astroviridae,Astroviridae,4095,755,capsid,Structural-Envelope,Homo sapiens,ssrna+,Undefined genus
136,YP_009361877.1,Parvoviridae,Parvoviridae,Parvoviridae,6625,754,putative non-structural protein 1,Non-structural,Mephitis mephitis,ssdna,Amdoparvovirus
137,Q65030.1,Secoviridae,Secoviridae,Secoviridae,2586,753,RNA2 polyprotein,Polyprotein,Vitis vinifera,ssrna+,Nepovirus
138,YP_009329838.1,Polyomaviridae,Polyomaviridae,Polyomaviridae,10039,753,VP1,Other-Functions,Leptonychotes weddellii,dsdna,Betapolyomavirus
139,NP_049560.1,Retroviridae,Retroviridae,Retroviridae,2327,747,reverse transcriptase/envelope protein,Replication-Transcription,Undefined host,rt,Deltaretrovirus
140,YP_009094449.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,7941,740,hemagglutinin,Hemagglutinin,Sus scrofa domesticus,ssrna-,Respirovirus
141,NP_813799.1,Closteroviridae,Closteroviridae,Closteroviridae,8600,738,protein,Other-Functions,Undefined host,ssrna+,Ampelovirus
142,AGN54067.1,Tombusviridae,Tombusviridae-Solemoviridae-Luteoviridae,Tombusviridae,6093,737,aphid transmission,Other-Functions,Poa cookii,ssrna+,Luteovirus
143,QLA47022.1,Peribunyaviridae,Peribunyaviridae-Hantaviridae,Peribunyaviridae,751,735,L,Other-Functions,Macaca nemestrina,ssrna-,Orthobunyavirus
144,QIS60240.1,Geminiviridae,Geminiviridae,Geminiviridae,20545,730,nuclear shuttle protein,Other-Functions,Undefined host,ssdna,Begomovirus
145,YP_009507713.1,Reoviridae,Reoviridae,Sedoreoviridae,3203,722,VP3,Other-Functions,Homo sapiens,dsrna,Orbivirus
146,NP_987087.2,Astroviridae,Astroviridae,Astroviridae,1535,711,nonstructural polyprotein,Non-structural,Undefined host,ssrna+,Avastrovirus
147,BBA66889.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,7116,700,hemagglutinin-neuraminidase,Hemagglutinin,Homo sapiens,ssrna-,Orthorubulavirus
148,AGC97158.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,8096,695,nucleocapsid,Structural-Envelope,Undefined host,ssrna-,Orthorubulavirus
149,AGM61335.1,Retroviridae,Retroviridae,Retroviridae,6493,692,gag polyprotein,Structural-Envelope,Macaca cyclopis,rt,Spumavirus
150,AZS32960.1,Caliciviridae,Caliciviridae,Caliciviridae,22318,692,VP2,Other-Functions,Canis lupus familiaris,ssrna+,Norovirus
151,YP_003084394.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3108,690,UL27,Other-Functions,Anatidae,dsdna,Mardivirus
152,AHF71065.1,Phenuiviridae,Phenuiviridae,Phenuiviridae,2779,673,membrane,Structural-Envelope,Rousettus leschenaultii,ssrna-,Phlebovirus
153,NP_690583.1,Filoviridae,Filoviridae,Filoviridae,6019,673,spike glycoprotein,Structural-Envelope,Undefined host,ssrna-,Orthoebolavirus
154,Q67726.1,Astroviridae,Astroviridae,Astroviridae,1800,667,nonstructural polyprotein,Non-structural,Homo sapiens,ssrna+,Mamastrovirus
155,QKO01647.1,Matonaviridae,Matonaviridae,Matonaviridae,2705,663,structural polyprotein,Structural-Envelope,Doryrhina cyclops,ssrna+,Rubivirus
156,AAV48581.1,Filoviridae,Filoviridae,Filoviridae,853,648,polymerase,Replication-Transcription,Undefined host,ssrna-,Orthoebolavirus
157,AIF74221.1,Parvoviridae,Parvoviridae,Parvoviridae,5084,648,VP1,Other-Functions,Miniopterus fuliginosus,ssdna,Undefined genus
158,YP_009552475.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2971,647,glycoprotein,Glycoprotein,Eptesicus fuscus,dsdna,Undefined genus
159,YP_010086571.1,Parvoviridae,Parvoviridae,Parvoviridae,4089,632,VP1,Other-Functions,Phoca vitulina,ssdna,Erythroparvovirus
160,QTE03611.1,Genomoviridae,Genomoviridae-Circoviridae,Genomoviridae,13959,744,replication-associated protein,Replication-Transcription,Emberiza spodocephala,ssdna,Undefined genus
161,CAN89112.1,Reoviridae,Reoviridae,Sedoreoviridae,16110,630,VP6 ,Other-Functions,Undefined host,dsrna,Orbivirus
162,YP_031678.1,Retroviridae,Retroviridae,Retroviridae,2603,629,gag-env ,Structural-Envelope,Gallus gallus,rt,Undefined genus
163,BAA00921.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,7120,629,phosphoprotein,Other-Functions,Undefined host,ssrna-,Respirovirus
164,ALE20411.1,Reoviridae,Reoviridae,Sedoreoviridae,17688,625,VP7,Other-Functions,Canis lupus familiaris,dsrna,Rotavirus
165,NP_056907.1,Retroviridae,Retroviridae,Retroviridae,1742,624,gag polyprotein,Structural-Envelope,Pan paniscus,rt,Deltaretrovirus
166,NP_044335.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,977,623,polyprotein,Polyprotein,Undefined host,ssrna+,Capillovirus
167,AAB19495.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,3407,621,fusion,Structural-Envelope,Undefined host,ssrna-,Orthorubulavirus
168,QKU35692.1,Mimiviridae,Mimiviridae-Marseilleviridae,Mimiviridae,5013,619,putative ankyrin repeat protein,Other-Functions,Acanthamoeba polyphaga,dsdna,Tupanvirus
169,6BK6_A,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,15507,613,matrix ,Structural-Envelope,Undefined host,ssrna-,Henipavirus
170,QGU18502.1,Reoviridae,Reoviridae,Sedoreoviridae,8281,599,VP5,Other-Functions,Mansonia uniformis,dsrna,Orbivirus
171,AGU09694.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,887,597,RdRp,Replication-Transcription,Malus domestica,ssrna+,Foveavirus
