ref,rep,fam_2021,fams_div,fam_2023,clu,sxc,proteina,proteina_class,host,cadena,genero
13,QOE76806.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,7950,22160,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-),Alphainfluenzavirus
14,QSM12402.1,Coronaviridae,Coronaviridae,Coronaviridae,12790,21781,nucleocapsid phosphoprotein,Structural-Envelope,Homo sapiens,ssRNA(+),Betacoronavirus
15,QLC45894.1,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Flaviviridae,189,20504,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Orthoflavivirus
16,AAP76556.1,Retroviridae,Retroviridae,Retroviridae,2118,20310,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus
17,ACY94426.1,Retroviridae,Retroviridae,Retroviridae,3141,19189,envelope glycoprotein,Structural-Envelope,Macaca mulatta,ssRNA-RT,Lentivirus
18,AHK22794.1,Flaviviridae,Flaviviridae-Pneumoviridae-Herpesviridae-Poxviridae-Picornaviridae-Paramyxoviridae-Baculoviridae-Adenoviridae,Flaviviridae,300,16025,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Hepacivirus
19,QOE76828.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,6371,12829,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-),Alphainfluenzavirus
20,QKF95578.1,Potyviridae,Potyviridae-Tymoviridae-Secoviridae-Closteroviridae-Alphaflexiviridae,Potyviridae,210,12451,polyprotein,Polyprotein,Solanum tuberosum,ssRNA(+),Potyvirus
21,7KJR_A,Coronaviridae,Coronaviridae,Coronaviridae,21826,12086,ORF3a protein,Other-Functions,Homo sapiens,ssRNA(+),Betacoronavirus
22,AKT71995.1,Reoviridae,Reoviridae,Sedoreoviridae,17625,10204,VP7,Structural-Envelope,Homo sapiens,dsRNA,Rotavirus
23,ARB49194.1,Reoviridae,Reoviridae,Sedoreoviridae,4687,7726,VP4,Structural-Envelope,Homo sapiens,dsRNA,Rotavirus
24,6IN5_A,Orthomyxoviridae,Orthomyxoviridae-Paramyxoviridae,Orthomyxoviridae,7715,7397,hemagglutinin,Hemagglutinin,Gallus gallus,ssRNA(-),Alphainfluenzavirus
25,AAT01719.1,Picornaviridae,Picornaviridae,Picornaviridae,705,7066,VP1,Polyprotein,Bos taurus,ssRNA(+),Aphthovirus
26,QLQ34863.1,Caliciviridae,Caliciviridae-Reoviridae,Caliciviridae,3659,6754,VP1,Structural-Envelope,Homo sapiens,ssRNA(+),Norovirus
27,QOE76814.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,7688,6385,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-),Betainfluenzavirus
28,QDY92359.1,Coronaviridae,Coronaviridae,Coronaviridae,2437,5418,spike glycoprotein,Structural-Envelope,Gallus gallus,ssRNA(+),Gammacoronavirus
29,QSC88236.1,Pneumoviridae,Pneumoviridae,Pneumoviridae,15836,5119,attachment glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthopneumovirus
30,YP_010087836.1,Geminiviridae,Geminiviridae-Caulimoviridae-Alphasatellitidae,Geminiviridae,21901,5087,coat protein,Other-Functions,Solanum lycopersicum,ssDNA(+/-),Begomovirus
31,QFR36400.1,Geminiviridae,Geminiviridae-Virgaviridae-Caulimoviridae-Alphasatellitidae,Geminiviridae,13371,8286,replication-associated protein,Replication-Transcription,Solanum lycopersicum,ssDNA(+/-),Begomovirus
32,AVM87625.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,10966,4547,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-),Betainfluenzavirus
33,AAA43314.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,18461,4401,matrix protein 1,Structural-Envelope,Homo sapiens,ssRNA(-),Alphainfluenzavirus
34,BBJ34935.1,Pneumoviridae,Pneumoviridae,Pneumoviridae,18294,4091,attachment glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthopneumovirus
35,QVI17106.1,Caliciviridae,Caliciviridae,Caliciviridae,1326,5197,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+),Norovirus
36,ALK28765.1,Coronaviridae,Coronaviridae,Coronaviridae,1613,3663,spike protein,Structural-Envelope,Sus scrofa,ssRNA(+),Alphacoronavirus
37,YP_008378665.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,772,3554,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(-),Orthoavulavirus
38,ACN88111.1,Adenoviridae,Adenoviridae,Adenoviridae,3224,3608,hexon,Other-Functions,Homo sapiens,dsDNA,Mastadenovirus
39,AGW31675.1,Arteriviridae,Arteriviridae,Arteriviridae,155,3424,nonstructural protein 2,Non-structural,Sus scrofa,ssRNA(+),Betaarterivirus
40,AAA43764.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,17481,3207,nonstructural protein 1,Non-structural,Homo sapiens,ssRNA(-),Betainfluenzavirus
41,CAA32488.1,Retroviridae,Retroviridae,Retroviridae,19771,3200,nef protein,Other-Functions,Simiiformes,ssRNA-RT,Lentivirus
42,QBJ02252.1,Reoviridae,Reoviridae,Sedoreoviridae,2684,3195,VP1,Other-Functions,Homo sapiens,dsRNA,Rotavirus
43,QCF24330.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,8698,3129,glycoprotein,Glycoprotein,Canis lupus familiaris,ssRNA(-),Lyssavirus
44,AVM87430.1,Togaviridae,Togaviridae-Flaviviridae,Togaviridae,1946,3099,structural polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+),Alphavirus
45,P35956.2,Retroviridae,Retroviridae,Retroviridae,1689,3027,gag protein,Structural-Envelope,Ovis aries,ssRNA-RT,Lentivirus
46,AAD10459.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,10645,3027,nucleoprotein,Structural-Envelope,Canis lupus familiaris,ssRNA(-),Lyssavirus
47,YP_009091837.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,6253,2898,fusion protein,Structural-Envelope,Gallus gallus,ssRNA(-),Orthoavulavirus
48,QAA77599.1,Reoviridae,Reoviridae,Sedoreoviridae,4033,2843,VP3,Other-Functions,Homo sapiens,dsRNA,Rotavirus
49,YP_009094332.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,8773,2823,nucleoprotein,Structural-Envelope,Homo sapiens,ssRNA(-),Morbillivirus
50,ADW11143.1,Reoviridae,Reoviridae,Sedoreoviridae,9500,2771,NSP1,Non-structural,Homo sapiens,dsRNA,Rotavirus
51,ADM15528.1,Reoviridae,Reoviridae,Sedoreoviridae,12211,2656,VP6,Other-Functions,Homo sapiens,dsRNA,Rotavirus
52,YP_003896047.1,Reoviridae,Reoviridae,Sedoreoviridae,3581,2626,VP2,Other-Functions,Homo sapiens,dsRNA,Rotavirus
53,AAF82566.1,Flaviviridae,Flaviviridae,Flaviviridae,147,2623,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Hepacivirus
54,QIH29414.1,Pneumoviridae,Pneumoviridae-Coronaviridae,Pneumoviridae,7639,2689,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthopneumovirus
55,AAZ39526.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6525,2496,L1,Other-Functions,Homo sapiens,dsDNA,Alphapapillomavirus
56,QCF29645.1,Hepeviridae,Hepeviridae,Hepeviridae,6026,2478,capsid protein,Structural-Envelope,Homo sapiens,ssRNA(+),Paslahepevirus
57,QFX66041.1,Flaviviridae,Flaviviridae-Baculoviridae-Mimiviridae-Phycodnaviridae-Marseilleviridae,Flaviviridae,89,2785,polyprotein,Polyprotein,Bos taurus,ssRNA(+),Pestivirus
58,AXU24940.1,Potyviridae,Potyviridae-Bromoviridae,Potyviridae,215,2319,polyprotein,Polyprotein,Glycine max,ssRNA(+),Potyvirus
59,AFU32554.1,Retroviridae,Retroviridae,Retroviridae,3429,2233,pol protein,Polyprotein,Homo sapiens,ssRNA-RT,Lentivirus
60,NP_077121.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,9274,2223,L2,Other-Functions,Homo sapiens,dsDNA,Alphapapillomavirus
61,QXQ21752.1,Parvoviridae,Parvoviridae,Parvoviridae,4658,2214,capsid protein,Structural-Envelope,Canis lupus familiaris,ssDNA(+/-),Protoparvovirus
62,QJI53616.1,Circoviridae,Circoviridae,Circoviridae,15658,2129,replication-associated protein,Replication-Transcription,Sus scrofa,ssDNA(+/-),Circovirus
63,QCY50220.1,Picornaviridae,Picornaviridae,Picornaviridae,864,2030,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Parechovirus
64,AFM55839.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,6710,2023,hemagglutinin,Hemagglutinin,Canis lupus familiaris,ssRNA(-),Morbillivirus
65,QAA77604.1,Reoviridae,Reoviridae,Sedoreoviridae,17730,1996,NSP2,Other-Functions,Homo sapiens,dsRNA,Rotavirus
66,ASV45868.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,493,1992,polymerase,Replication-Transcription,Canis lupus familiaris,ssRNA(-),Lyssavirus
67,QAA79499.1,Flaviviridae,Flaviviridae,Flaviviridae,231,1987,polyprotein,Polyprotein,Corvus brachyrhynchos,ssRNA(+),Orthoflavivirus
68,CAX33877.1,Birnaviridae,Birnaviridae,Birnaviridae,2854,1843,VP2,Polyprotein,Gallus gallus,dsRNA,Avibirnavirus
69,CAB65340.1,Retroviridae,Retroviridae-Poxviridae,Retroviridae,681,1809,envelope protein,Structural-Envelope,Phascolarctos cinereus,ssRNA-RT,Gammaretrovirus
70,AWK57622.1,Caliciviridae,Caliciviridae,Caliciviridae,747,1751,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Sapovirus
71,BBC83614.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6127,1834,E1,Other-Functions,Homo sapiens,dsDNA,Alphapapillomavirus
72,AMQ09749.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,6906,1742,hemagglutinin-neuraminidase,Hemagglutinin,Gallus gallus,ssRNA(-),Orthoavulavirus
73,YP_009215303.1,Parvoviridae,Parvoviridae,Parvoviridae,5386,1770,VP1,Structural-Envelope,Homo sapiens,ssDNA(+/-),Bocaparvovirus
74,AAB19548.2,Retroviridae,Retroviridae,Retroviridae,3114,1689,envelope glycoprotein,Structural-Envelope,Ovis aries,ssRNA-RT,Lentivirus
75,QVW10123.1,Astroviridae,Astroviridae,Astroviridae,1845,1611,RNA-dependent RNA polymerase,Replication-Transcription,Sus scrofa,ssRNA(+),Mamastrovirus
76,QFX69115.1,Pneumoviridae,Pneumoviridae-Paramyxoviridae,Pneumoviridae,660,1592,RNA-directed RNA polymerase L,Replication-Transcription,Homo sapiens,ssRNA(-),Orthopneumovirus
77,CAG29088.1,Geminiviridae,Geminiviridae-Potyviridae,Geminiviridae,15745,1585,movement protein,Transport,Manihot esculenta,ssDNA(+/-),Begomovirus
78,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus
79,YP_009094180.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,20014,1542,phosphoprotein,Other-Functions,Canis lupus familiaris,ssRNA(-),Lyssavirus
80,YP_009505611.1,Picornaviridae,Picornaviridae-Hepeviridae,Picornaviridae,749,1503,polyprotein-capsid,Polyprotein,Homo sapiens,ssRNA(+),Hepatovirus
81,ACX32354.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,12930,1532,early E2,Regulation-Control,Homo sapiens,dsDNA,Alphapapillomavirus
82,NP_941983.1,Hantaviridae,Hantaviridae,Hantaviridae,2522,1373,glycoprotein precursor,Glycoprotein,Rattus norvegicus,ssRNA(-),Orthohantavirus
83,ATP66731.1,Coronaviridae,Coronaviridae,Coronaviridae,6,1446,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(+),Betacoronavirus
84,QFE31727.1,Retroviridae,Retroviridae,Retroviridae,3759,1354,envelope protein,Structural-Envelope,Equus caballus,ssRNA-RT,Lentivirus
85,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus
86,ABZ03979.1,Geminiviridae,Geminiviridae,Geminiviridae,14349,1312,replication-associated protein,Replication-Transcription,Cicer arietinum,ssDNA(+/-),Mastrevirus
87,0905196A,Adenoviridae,Adenoviridae,Adenoviridae,1126,1288,DNA polymerase,Replication-Transcription,Homo sapiens,dsDNA,Mastadenovirus
88,YP_009505804.1,Arenaviridae,Arenaviridae,Arenaviridae,7550,1282,nucleoprotein,Structural-Envelope,Homo sapiens,ssRNA(+/-),Mammarenavirus
89,QKI28857.1,Alphasatellitidae,Alphasatellitidae-Nanoviridae-Geminiviridae,Alphasatellitidae,17326,1282,replication associated protein,Replication-Transcription,Gossypium hirsutum,ssDNA,Colecusatellite
90,AKZ66193.1,Arteriviridae,Arteriviridae,Arteriviridae,21340,1273,GP3,Other-Functions,Sus scrofa,ssRNA(+),Betaarterivirus
91,NP_062875.1,Caliciviridae,Caliciviridae,Caliciviridae,710,1249,polyprotein,Polyprotein,Oryctolagus cuniculus,ssRNA(+),Lagovirus
92,QGM78573.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,10084,1247,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-),Alphainfluenzavirus
93,QCZ35343.1,Caliciviridae,Caliciviridae,Caliciviridae,541,1222,major capsid protein,Structural-Envelope,Felis catus,ssRNA(+),Vesivirus
94,YP_008439200.1,Coronaviridae,Coronaviridae,Coronaviridae,38,1217,polyprotein,Replication-Transcription,Sus scrofa,ssRNA(+),Alphacoronavirus
95,AAD30534.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,20326,1207,K1 glycoprotein,Other-Functions,Homo sapiens,dsDNA,Rhadinovirus
96,AXE73510.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,8508,1206,fusion protein,Structural-Envelope,Gallus gallus,ssRNA(-),Orthoavulavirus
97,YP_009448192.1,Picornaviridae,Picornaviridae,Picornaviridae,532,1203,polyprotein,Polyprotein,Sus scrofa,ssRNA(+),Kobuvirus
98,AAD31543.1,Flaviviridae,Flaviviridae,Flaviviridae,441,1201,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Pegivirus
99,ACA52156.1,Coronaviridae,Coronaviridae,Coronaviridae,33,1195,RNA-dependent RNA polymerase,Replication-Transcription,Felis catus,ssRNA(+),Alphacoronavirus
100,YP_010086240.1,Phenuiviridae,Phenuiviridae-Peribunyaviridae,Phenuiviridae,859,1192,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(+/-),Bandavirus
101,CAA24906.1,Pneumoviridae,Pneumoviridae,Pneumoviridae,11164,1186,N protein,Other-Functions,Homo sapiens,ssRNA(-),Orthopneumovirus
102,QTJ01860.1,Solemoviridae,Solemoviridae-Luteoviridae-Tombusviridae,Solemoviridae,2692,1162,RNA-dependent RNA polymerase,Replication-Transcription,Saccharum sp.,ssRNA(+),Polerovirus
103,AHC95553.1,Arenaviridae,Arenaviridae,Arenaviridae,9226,1154,glycoprotein precursor,Glycoprotein,Homo sapiens,ssRNA(+/-),Mammarenavirus
104,AVM87655.1,Hantaviridae,Hantaviridae,Hantaviridae,10893,1149,nucleocapsid protein,Structural-Envelope,Myodes glareolus,ssRNA(-),Orthohantavirus
105,ABX25838.1,Retroviridae,Retroviridae,Retroviridae,3682,1132,envelope glycoprotein,Structural-Envelope,Felis catus,ssRNA-RT,Lentivirus
106,ADI60318.1,Arteriviridae,Arteriviridae,Arteriviridae,24476,1128,GP2,Other-Functions,Sus scrofa,ssRNA(+),Betaarterivirus
107,QBX91018.1,Caliciviridae,Caliciviridae,Caliciviridae,23256,1070,VP2,Other-Functions,Homo sapiens,ssRNA(+),Norovirus
108,AJO72803.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,5883,1037,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-),Morbillivirus
109,AYI50358.1,Togaviridae,Togaviridae,Togaviridae,595,1026,non-structural polyprotein precursor P1234,Non-structural,Homo sapiens,ssRNA(+),Alphavirus
110,YP_009361853.1,Hantaviridae,Hantaviridae,Hantaviridae,919,1010,RNA-dependent RNA polymerase,Replication-Transcription,Rattus norvegicus,ssRNA(-),Orthohantavirus
111,AAK74119.1,Reoviridae,Reoviridae,Sedoreoviridae,7451,1009,NSP3,Non-structural,Homo sapiens,dsRNA,Rotavirus
112,QEO75949.1,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,1739,972,polyprotein,Polyprotein,Homo sapiens,ssRNA(-),Orthobunyavirus
113,YP_009094360.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,13118,1087,phosphoprotein,Other-Functions,Gallus gallus,ssRNA(-),Orthoavulavirus
114,QPB10708.1,Coronaviridae,Coronaviridae,Coronaviridae,45,958,ORF1ab,Other-Functions,Gallus gallus,ssRNA(+),Gammacoronavirus
115,QSD99081.1,Hepeviridae,Hepeviridae,Hepeviridae,1344,948,polyprotein,Other-Functions,Homo sapiens,ssRNA(+),Paslahepevirus
116,YP_009345142.1,Tospoviridae,Tospoviridae-Peribunyaviridae,Tospoviridae,22077,927,nucleocapsid protein,Structural-Envelope,Solanum lycopersicum,ssRNA(+/-),Orthotospovirus
117,QKO28323.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,8416,918,glycoprotein,Glycoprotein,Oncorhynchus mykiss,ssRNA(-),Novirhabdovirus
118,YP_052942.1,Reoviridae,Reoviridae,Sedoreoviridae,1970,916,RNA-dependent RNA polymerase,Replication-Transcription,Ovis aries,dsRNA,Orbivirus
119,ATP66856.1,Flaviviridae,Flaviviridae,Flaviviridae,150,906,polyprotein,Polyprotein,Sus scrofa,ssRNA(+),Pestivirus
120,AND80849.1,Togaviridae,Togaviridae,Togaviridae,583,901,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+),Alphavirus
121,NP_044929.1,Retroviridae,Retroviridae,Retroviridae,2319,890,integrase,Polyprotein,Homo sapiens,ssRNA-RT,Spumavirus
122,QDY92366.1,Coronaviridae,Coronaviridae,Coronaviridae,13183,890,nucleocapsid protein,Structural-Envelope,Gallus gallus,ssRNA(+),Gammacoronavirus
123,QSJ02954.1,Coronaviridae,Coronaviridae,Coronaviridae,1904,886,spike glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(+),Betacoronavirus
124,AGO86045.1,Iflaviridae,Iflaviridae-Dicistroviridae,Iflaviridae,462,878,polyprotein,Polyprotein,Apis mellifera,ssRNA(+),Iflavirus
125,AJE30400.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,9714,853,phosphoprotein,Other-Functions,Homo sapiens,ssRNA(-),Morbillivirus
126,QIM73742.1,Arenaviridae,Arenaviridae,Arenaviridae,758,817,polymerase,Replication-Transcription,Homo sapiens,ssRNA(+/-),Mammarenavirus
127,QCC62316.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,12831,816,latent membrane protein 1,Structural-Envelope,Homo sapiens,dsDNA,Lymphocryptovirus
128,QKN88761.1,Parvoviridae,Parvoviridae,Parvoviridae,5092,815,capsid protein,Structural-Envelope,Homo sapiens,ssDNA(+/-),Dependoparvovirus
129,AMB66138.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2018,812,DNA polymerase,Replication-Transcription,Homo sapiens,dsDNA,Simplexvirus
130,NP_042860.2,Closteroviridae,Closteroviridae,Closteroviridae,206,810,polyprotein,Polyprotein,Citrus x paradisi,ssRNA(+),Closterovirus
131,QBK47249.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,14008,805,matrix protein,Structural-Envelope,Gallus gallus,ssRNA(-),Orthoavulavirus
132,QRN45811.1,Reoviridae,Reoviridae,Sedoreoviridae,3292,797,VP2,Structural-Envelope,Ovis aries,dsRNA,Orbivirus
133,AST08162.1,Hepeviridae,Hepeviridae,Hepeviridae,1415,783,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Paslahepevirus
134,AVO64743.1,Reoviridae,Reoviridae,Sedoreoviridae,6405,771,VP4-capping,Structural-Envelope,Bos taurus,dsRNA,Orbivirus
135,QBL55999.1,Astroviridae,Astroviridae,Astroviridae,4095,755,capsid protein,Structural-Envelope,Homo sapiens,ssRNA(+),Mamastrovirus
136,YP_009361877.1,Parvoviridae,Parvoviridae,Parvoviridae,6625,754,nonstructural protein 1,Non-structural,Neovison vison,ssDNA(+/-),Amdoparvovirus
137,Q65030.1,Secoviridae,Secoviridae,Secoviridae,2586,753,coat protein,Polyprotein,Vitis vinifera,ssRNA(+),Nepovirus
138,YP_009329838.1,Polyomaviridae,Polyomaviridae,Polyomaviridae,10039,753,VP1,Structural-Envelope,Homo sapiens,dsDNA,Betapolyomavirus
139,NP_049560.1,Retroviridae,Retroviridae,Retroviridae,2327,747,envelope glycoprotein,Replication-Transcription,Homo sapiens,ssRNA-RT,Deltaretrovirus
140,YP_009094449.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,7941,740,hemagglutinin-neuraminidase,Hemagglutinin,Homo sapiens,ssRNA(-),Respirovirus
141,NP_813799.1,Closteroviridae,Closteroviridae,Closteroviridae,8600,738,heat shock protein 70-like protein,Other-Functions,Vitis vinifera,ssRNA(+),Ampelovirus
142,AGN54067.1,Tombusviridae,Tombusviridae-Solemoviridae-Luteoviridae,Tombusviridae,6093,737,coat protein,Other-Functions,Triticum aestivum,ssRNA(+),Luteovirus
143,QLA47022.1,Peribunyaviridae,Peribunyaviridae-Hantaviridae,Peribunyaviridae,751,735,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(-),Orthobunyavirus
144,QIS60240.1,Geminiviridae,Geminiviridae,Geminiviridae,20545,730,nuclear shuttle protein,Other-Functions,Solanum lycopersicum,ssDNA(+/-),Begomovirus
145,YP_009507713.1,Reoviridae,Reoviridae,Sedoreoviridae,3203,722,VP3,Other-Functions,Bos taurus,dsRNA,Orbivirus
146,NP_987087.2,Astroviridae,Astroviridae,Astroviridae,1535,711,polymerase,Replication-Transcription,Gallus gallus,ssRNA(+),Avastrovirus
147,BBA66889.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,7116,700,hemagglutinin-neuraminidase,Hemagglutinin,Homo sapiens,ssRNA(-),Orthorubulavirus
148,AGC97158.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,8096,695,nucleoprotein,Structural-Envelope,Gallus gallus,ssRNA(-),Orthoavulavirus
149,AGM61335.1,Retroviridae,Retroviridae,Retroviridae,6493,692,gag protein,Structural-Envelope,Macaca mulatta,ssRNA-RT,Spumavirus
150,AZS32960.1,Caliciviridae,Caliciviridae,Caliciviridae,22318,692,VP2 structural,Structural-Envelope,Homo sapiens,ssRNA(+),Norovirus
151,YP_003084394.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3108,690,glycoprotein B,Other-Functions,Homo sapiens,dsDNA,Varicellovirus
152,AHF71065.1,Phenuiviridae,Phenuiviridae,Phenuiviridae,2779,673,membrane glycoprotein polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+/-),Bandavirus
153,NP_690583.1,Filoviridae,Filoviridae,Filoviridae,6019,673,virion spike glycoprotein precursor,Structural-Envelope,Homo sapiens,ssRNA(-),Orthoebolavirus
154,Q67726.1,Astroviridae,Astroviridae,Astroviridae,1800,667,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(+),Mamastrovirus
155,QKO01647.1,Matonaviridae,Matonaviridae,Matonaviridae,2705,663,structural polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+),Rubivirus
156,AAV48581.1,Filoviridae,Filoviridae,Filoviridae,853,648,polymerase,Replication-Transcription,Homo sapiens,ssRNA(-),Orthoebolavirus
157,AIF74221.1,Parvoviridae,Parvoviridae,Parvoviridae,5084,648,VP2 capsid,Structural-Envelope,Neovison vison,ssDNA(+/-),Amdoparvovirus
158,YP_009552475.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2971,647,glycoprotein B,Glycoprotein,Equus caballus,dsDNA,Percavirus
159,YP_010086571.1,Parvoviridae,Parvoviridae,Parvoviridae,4089,632,VP1-capsid,Structural-Envelope,Homo sapiens,ssDNA(+/-),Erythroparvovirus
160,QTE03611.1,Genomoviridae,Genomoviridae-Circoviridae,Genomoviridae,13959,744,replication-associated protein,Replication-Transcription,Pteropus tonganus,ssDNA,Gemycircularvirus
161,CAN89112.1,Reoviridae,Reoviridae,Sedoreoviridae,16110,630,VP6,Structural-Envelope,Ovis aries,dsRNA,Orbivirus
162,YP_031678.1,Retroviridae,Retroviridae,Retroviridae,2603,629,envelope protein,Structural-Envelope,Gallus gallus,ssRNA-RT,Alpharetrovirus
163,BAA00921.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,7120,629,phosphoprotein,Other-Functions,Homo sapiens,ssRNA(-),Respirovirus
