Num_seq,acc_seq
3454,LC727865.1_35_20680_21651
3471,LC727695.1_35_26800_27801
3497,LC727695.1_235_155673_156587
3545,LC727695.1_363_275615_276688
3547,ON602729.1_13_5330_6241
3559,ON602729.1_81_44639_45685
3577,ON602729.1_166_105538_106536
3579,ON602729.1_170_109683_110771
3580,ON602729.1_180_114798_115709
3619,ON602753.1_26_16420_17325
3633,ON857925.1_12_11418_12419
3638,ON857925.1_29_24451_25362
3653,ON857930.1_12_11433_12434
3676,ON970592.1_57_34804_35799
3688,OP068338.1_54_37213_38208
3693,OP171942.1_22_13166_14104
3727,OP235318.1_148_96227_97135
3742,ON548418.1_36_26779_27681
3756,ON548418.1_93_81587_82489
3761,ON548418.1_124_96495_97553
3776,ON855040.1_2_1679_2605
3832,ON568193.1_31_17717_18619
3834,ON568193.1_37_21790_22713
3844,ON754979.1_8_8371_9279
3868,ON456339.1_49_37731_38672
3871,ON456339.1_75_51534_52436
3876,ON456347.1_6_4987_5913
3939,MZ234048.1_14_6074_7117
4015,ON286973.1_75_65765_66700
4016,ON286973.1_81_69172_70455
4039,ON515458.1_42_26608_27606
4040,ON515458.1_45_28682_29653
4041,ON515458.1_49_30847_31782
4086,ON637772.1_45_26243_27205
4096,ON637772.1_92_56490_57560
4114,OM223115.1_12_9950_10867
4115,OM223115.1_13_10950_11852
4135,OM223115.1_72_69471_70394
4143,ON470596.1_15_11111_12013
4150,ON470611.1_17_10077_11018
4155,ON470620.1_24_14814_15869
4169,ON470624.1_15_11111_12013
4176,ON113170.1_58_27525_28652
4183,ON113170.1_89_57372_58316
4196,ON113170.1_120_103065_104027
4218,OM386656.1_75_36024_36956
4311,OM850392.1_100_54746_55654
4365,OM236516.1_84_41088_42113
4399,OM236516.1_230_156751_157653
4409,OM654374.1_30_22881_23927
4413,OM654374.1_60_41254_42156
4414,OW251746.1_3_1216_2175
4418,OW251746.1_20_19632_20678
4491,OM681507.1_88_62079_63008
4522,OL763419.1_24_16202_17380
4530,OL763419.1_73_46847_47848
4540,OM732337.1_27_20985_21917
4588,OL829977.1_18_17726_18679
4592,OL829977.1_44_35106_36023
4624,MT080103.1_145_89323_90297
4640,MW526260.1_34_24485_25465
4799,OL355129.1_44_26574_27860
4801,OL355129.1_48_30967_31869
4807,OL355129.1_68_49374_50330
4859,OL960581.1_90_48300_49328
4895,OL960581.1_263_165399_166337
4915,OL955261.1_9_6598_7524
4955,OK539913.1_66_45387_46487
4971,MN812689.1_42_26329_27321
4976,OK490420.1_4_3573_4520
5100,MW147599.1_63_41616_42518
5114,MW147603.1_22_22040_22954
5152,CAKLQF010000001.1_95_94415_95359
5154,CAKLQF010000001.1_98_98629_99567
5179,CAKLQF010000001.1_148_153903_154889
5180,CAKLQF010000001.1_152_156521_157582
5191,CAKLQF010000001.1_179_182765_183697
5209,CAKLQF010000001.1_204_211870_212778
5219,CAKLQF010000001.1_220_232490_233392
5232,CAKLQF010000001.1_249_264990_265949
5245,CAKLQF010000001.1_287_300097_301014
5257,CAKLQF010000001.1_312_326189_327091
5288,CAKLQF010000030.1_38_42775_43683
5333,CAKLQH010000001.1_95_94405_95349
5335,CAKLQH010000001.1_98_98619_99557
5360,CAKLQH010000001.1_148_153893_154879
5361,CAKLQH010000001.1_152_156511_157572
5372,CAKLQH010000001.1_179_182755_183687
5390,CAKLQH010000001.1_204_211860_212768
5400,CAKLQH010000001.1_220_232480_233382
5412,CAKLQH010000001.1_250_264980_265939
5425,CAKLQH010000001.1_288_300087_301004
5437,CAKLQH010000001.1_313_326179_327081
5451,OK272489.1_9_5536_6732
5459,OK272489.1_76_44234_45289
5469,OL539439.1_42_30959_31885
5536,LC645414.1_11_5956_6909
5538,LC645414.1_29_16918_17871
5566,LC645444.1_11_5942_6895
5568,LC645444.1_29_16904_17857
5584,LC645445.1_11_5961_6914
5586,LC645445.1_29_16925_17878
5603,LC645449.1_11_5970_6923
5605,LC645449.1_28_16935_17888
5608,LC645449.1_34_22874_23845
5650,MW927524.1_48_28986_29888
5652,MW927524.1_54_33428_34465
5684,MZ501072.1_27_29703_30680
5707,MZ501077.1_32_26696_27652
5745,MZ501082.1_202_129452_130387
5786,MZ501089.1_195_122005_123024
5872,MZ234018.1_189_112054_113058
5898,MZ234032.1_1_1_924
5906,MZ234032.1_26_19370_20278
5951,MZ643249.1_33_14155_15090
5988,OK040170.1_32_21259_22356
6006,OK040170.1_89_74640_75650
6011,OK040170.1_94_82209_83123
6023,OK040170.1_113_104388_105425
6063,OK040170.1_289_250493_251467
6065,OK040170.1_304_258804_259736
6067,OK040170.1_311_265166_266101
6071,OK076929.1_1_11_949
6109,OK076929.1_181_119287_120213
6166,MZ417344.1_17_22926_23855
6168,MZ417344.1_24_29065_29970
6278,MZ747510.1_23_20189_21103
